Unit,headcode,origin_loc,origin_dep_dt,cif_uid
82215,5D02,FRMPKRS,17/03/2015 02:27,Y62351
82204,1A00,NEWANG,17/03/2015 05:35,Y61948
82207,5N80,FRMPKRS,17/03/2015 04:40,Y62447
82211,5D01,BNDSGRN,17/03/2015 02:08,Y62350
82207,5Y52,KNGX,17/03/2015 00:53,Y62559
82211,5Y50,KNGX,17/03/2015 00:42,Y62557
82211,5Y50,BOWERRL,17/03/2015 01:51,
82217,3N04,KNGX,17/03/2015 01:25,Y62320
82204,3A00,BNDSGRN,17/03/2015 01:00,Y62310
82223,1A02,LEEDS,17/03/2015 05:30,Y61951
82201,1Y14,BRWCKUT,17/03/2015 06:00,Y62287
82209,5Y11,HTONTMD,17/03/2015 06:00,Y62518
82201,3Y14,HTONTMD,17/03/2015 04:30,Y62323
82214,3A13,NEVLTMD,17/03/2015 05:32,Y62333
82205,5A07,NEVLTMD,17/03/2015 00:08,Y62330
82209,5N34,NWCSTLE,17/03/2015 00:54,Y62442
40748,5N35,NWCSTLE,17/03/2015 02:26,Y62445
82227,5E06,PLMDCMD,17/03/2015 06:00,Y62392
40748,5S01,HTONTMD,17/03/2015 05:51,Y62448
82213,5E01,CRGNTNY,17/03/2015 04:47,Y62383
82222,5Y03,HTONTMD,17/03/2015 04:00,Y62511
82222,1Y03,NWCSTLE,17/03/2015 04:45,Y62280
82203,5Y05,HTONTMD,17/03/2015 04:39,Y62514
82213,1E01,EDINBUR,17/03/2015 05:40,Y62103
82203,1Y05,NWCSTLE,17/03/2015 05:25,Y62282
82217,1N04,KNGX,17/03/2015 06:15,Y62178
82206,5E04,CRGNTNY,17/03/2015 06:21,Y62388
40748,1S01,NWCSTLE,17/03/2015 06:22,Y62207
40720,5E11,ABRDCH,17/03/2015 06:25,Y62401
40742,3B81,NEVLTMD,17/03/2015 04:40,Y62315
82209,1Y11,NWCSTLE,17/03/2015 06:30,Y62285
40702,5A04,NEVLTMD,17/03/2015 05:18,Y62327
40737,5A01,NEVLTMD,17/03/2015 04:25,Y62325
82215,1D02,KNGX,17/03/2015 06:30,Y62034
40702,1A04,LEEDS,17/03/2015 06:05,Y61952
40732,5D33,LEEDS,17/03/2015 00:25,Y62379
40732,5S03,NEVLTMD,17/03/2015 06:18,Y62455
82206,1E04,EDINBUR,17/03/2015 06:55,Y62107
40732,1S03,LEEDS,17/03/2015 07:10,Y62211
82207,1N80,KNGX,17/03/2015 07:08,Y62202
40742,1B81,LINCLNC,17/03/2015 07:20,Y62020
67022,0Z00,KNGX,17/03/2015 03:22,
82200,5D03,BNDSGRN,17/03/2015 05:50,Y62352
82200,1D03,KNGX,17/03/2015 07:05,Y62035
40720,1E11,ABRDEEN,17/03/2015 07:52,Y62123
40705,1E13,IVRNESS,17/03/2015 07:55,Y62128
40701,3A15,NEVLTMD,17/03/2015 06:22,Y62335
82204,1S07,KNGX,17/03/2015 08:00,Y62220
40701,1A15,HAGT,17/03/2015 07:34,Y61962
40701,5E30,LEEDS,17/03/2015 00:55,Y62421
82216,1D04,KNGX,17/03/2015 07:35,Y62037
82208,1S06,KNGX,17/03/2015 07:30,Y62218
82208,5S06,BNDSGRN,17/03/2015 06:05,Y62463
82216,5D04,BNDSGRN,17/03/2015 06:33,Y62353
40748,1E07,EDINBUR,17/03/2015 08:30,Y62113
82223,1D06,KNGX,17/03/2015 08:35,Y62040
82222,1D07,KNGX,17/03/2015 09:03,Y62041
40702,1N81,KNGX,17/03/2015 09:08,Y62203
40735,5E15,ABRDCH,17/03/2015 09:05,Y62408
40711,1E05,EDINBUR,17/03/2015 07:30,Y62109
40708,5A09,NEVLTMD,17/03/2015 06:31,Y62331
40708,1A09,LEEDS,17/03/2015 07:15,Y61956
82215,1A19,LEEDS,17/03/2015 09:16,Y61967
40708,5D36,LEEDS,17/03/2015 02:46,Y62382
40711,5E05,CRGNTNY,17/03/2015 06:57,Y62390
