Unit,headcode,origin_loc,origin_dep_dt
158759,1B09,BLCKPLN,30/03/2016 06:11
158901,1B10,YORK,30/03/2016 06:20
158755,1B11,BLCKPLN,30/03/2016 07:11
158752,1B12,YORK,30/03/2016 07:18
158906,1B13,BLCKPLN,30/03/2016 08:11
158815,1B14,YORK,30/03/2016 08:27
158904,1B15,BLCKPLN,30/03/2016 09:11
158759,1B16,YORK,30/03/2016 09:18
158901,1B17,BLCKPLN,30/03/2016 10:11
158755,1B18,YORK,30/03/2016 10:27
158752,1B19,BLCKPLN,30/03/2016 11:11
158906,1B20,YORK,30/03/2016 11:18
158815,1B21,BLCKPLN,30/03/2016 12:11
156459,1C51,MNCROXR,30/03/2016 08:31
156461,1C51,MNCROXR,30/03/2016 08:31
156459,1C51,PRST,30/03/2016 09:27
156461,1C52,LANCSTR,30/03/2016 12:01
319368,1F05,PRST,30/03/2016 07:30
319377,1F06,PRST,30/03/2016 08:30
319386,1F07,PRST,30/03/2016 09:30
319368,1F08,PRST,30/03/2016 10:30
319377,1F09,PRST,30/03/2016 11:30
319382,1F92,MNCRIAP,30/03/2016 07:35
319369,1F93,MNCRIAP,30/03/2016 08:40
319361,1F94,MNCRIAP,30/03/2016 09:40
319382,1F95,MNCRIAP,30/03/2016 10:40
319369,1F96,MNCRIAP,30/03/2016 11:40
319369,1H43,LVRPLSH,30/03/2016 07:16
319361,1H44,LVRPLSH,30/03/2016 08:16
319382,1H45,LVRPLSH,30/03/2016 09:16
319369,1H46,LVRPLSH,30/03/2016 10:16
319363,1H47,LVRPLSH,30/03/2016 11:16
319382,1H48,LVRPLSH,30/03/2016 12:16
158794,1J22,BRDLNGT,30/03/2016 07:12
158860,1J23,BRDLNGT,30/03/2016 08:08
158909,1J24,BRDLNGT,30/03/2016 09:05
158844,1J25,BRDLNGT,30/03/2016 10:11
158816,1J26,BRDLNGT,30/03/2016 11:11
158851,1J27,SCARBRO,30/03/2016 11:28
158903,1L74,RTFD,30/03/2016 07:01
158791,1L75,LEEDS,30/03/2016 07:40
158791,1L76,SHEFFLD,30/03/2016 08:50
158861,1L77,LEEDS,30/03/2016 08:40
158861,1L78,SHEFFLD,30/03/2016 09:50
158850,1L79,LEEDS,30/03/2016 09:40
158850,1L80,SHEFFLD,30/03/2016 10:50
158842,1L81,LEEDS,30/03/2016 10:40
158842,1L82,SHEFFLD,30/03/2016 11:50
158902,1L83,LEEDS,30/03/2016 11:40
158784,1M53,LEEDS,30/03/2016 09:47
156459,1N31,BAROW,30/03/2016 11:13
156426,1N56,MNCRIAP,30/03/2016 08:25
156440,1N56,MNCRIAP,30/03/2016 08:25
156425,1N59,MNCRIAP,30/03/2016 10:29
156482,1N59,MNCRIAP,30/03/2016 10:29
319386,1N81,LVRPLSH,30/03/2016 08:28
319368,1N82,LVRPLSH,30/03/2016 09:28
319377,1N83,LVRPLSH,30/03/2016 10:28
319386,1N84,ALERTN,30/03/2016 11:03
319368,1N85,ALERTN,30/03/2016 12:03
142003,1U01,SOUTHPT,30/03/2016 07:19
142060,1U01,SOUTHPT,30/03/2016 07:19
150112,1U01,SOUTHPT,30/03/2016 07:19
156459,1U54,BLCKPLN,30/03/2016 07:17
156461,1U54,BLCKPLN,30/03/2016 07:17
156425,1U57,BLCKPLN,30/03/2016 08:40
156482,1U57,BLCKPLN,30/03/2016 08:40
156426,1U61,BLCKPLN,30/03/2016 10:40
156440,1U61,BLCKPLN,30/03/2016 10:40
158816,1W28,SHEFFLD,30/03/2016 08:41
158794,1W32,SHEFFLD,30/03/2016 09:41
158860,1W34,SHEFFLD,30/03/2016 10:41
158909,1W36,SHEFFLD,30/03/2016 11:41
158850,1Y08,NTNG,30/03/2016 07:12
158902,1Y09,LEEDS,30/03/2016 07:05
158845,1Y12,NTNG,30/03/2016 08:18
158792,1Y13,LEEDS,30/03/2016 08:05
158902,1Y16,NTNG,30/03/2016 09:17
158903,1Y17,LEEDS,30/03/2016 09:05
158792,1Y20,NTNG,30/03/2016 10:17
158791,1Y21,LEEDS,30/03/2016 10:05
158903,1Y24,NTNG,30/03/2016 11:17
158861,1Y25,LEEDS,30/03/2016 11:05
158791,1Y28,NTNG,30/03/2016 12:17
158850,1Y29,LEEDS,30/03/2016 12:05
142086,2A02,NWCSTLE,30/03/2016 08:02
142086,2A03,MRPTHRP,30/03/2016 08:49
142038,2A04,SOUTHPT,30/03/2016 08:23
150274,2A04,SOUTHPT,30/03/2016 08:23
156480,2A04,NWCSTLE,30/03/2016 09:15
150211,2A06,SOUTHPT,30/03/2016 09:24
156424,2A06,SOUTHPT,30/03/2016 09:24
142086,2A06,GTSHDMC,30/03/2016 10:02
142086,2A07,MRPTHRP,30/03/2016 10:49
150138,2A08,SOUTHPT,30/03/2016 10:23
156428,2A08,SOUTHPT,30/03/2016 10:23
156443,2A09,MRPTHRP,30/03/2016 11:49
142003,2A10,SOUTHPT,30/03/2016 11:23
142060,2A10,SOUTHPT,30/03/2016 11:23
150112,2A10,SOUTHPT,30/03/2016 11:23
156443,2A12,GTSHDMC,30/03/2016 11:02
150140,2A12,SOUTHPT,30/03/2016 12:23
156483,2A12,SOUTHPT,30/03/2016 12:23
142086,2A14,GTSHDMC,30/03/2016 12:03
156475,2A52,SBRN,30/03/2016 06:24
142090,2A54,SBRN,30/03/2016 07:25
319371,2A63,MNCRIAP,30/03/2016 08:46
319371,2A64,MNCRIAP,30/03/2016 09:46
319371,2A65,MNCRIAP,30/03/2016 10:46
319371,2A66,MNCRIAP,30/03/2016 11:46
319371,2A73,MNCRPIC,30/03/2016 08:14
319371,2A74,MNCRPIC,30/03/2016 09:14
319371,2A75,MNCRPIC,30/03/2016 10:14
319371,2A76,MNCRPIC,30/03/2016 11:14
319371,2A77,MNCRPIC,30/03/2016 12:14
323232,2A82,ALDEDGE,30/03/2016 07:53
323226,2A83,CREWE,30/03/2016 08:31
323223,2A84,CREWE,30/03/2016 09:34
323237,2A85,CREWE,30/03/2016 10:34
323229,2A86,CREWE,30/03/2016 11:34
