BSNY922881512141605131111100 POO2V17    111819020 EMU333 100      S            P
BX         NTY                                                                  
LOILKLEY  0910 09102         TB                                                 
LIBNRHYDN 0912 0912H     091209122        T                                     
LIBURLYIW 0916H0917H     091709172        T                                     
LIMENSTON 0920 0921      092009212        T                                     
LIGUISELY 0923H0924H     092409242        T                                     
LIAPERLYJ           0928 00000000                     1 2 1                     
LIARMLJCN           0937 00000000   US                                          
LIWHRDJN            0938 00000000   C                                           
LILEEDSWJ           0938H00000000   C                                           
LTLEEDS   0940 09409B    TF                                                     
