Tiploc	Stanox	CRS	Description	IsP2Data	IsPIFData	IsCIFData	IsNaPTANData	P2X	P2Y	NX	NY	Type	P2Importance	IsCIFStop	CIFStopCount	CIFPassCount	OutOfScope	NodeId	NodeIsLocation	NodeNodeType	IsConfirmed
AACHEN	5		Aachen	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	True				True
ABCWM	78128		Abercwmboi	True	True	True	False	303126	200064	0	0	Unknown	0	True	136	3911	False	15210	True	ThroughNode	True
ABDAPEN	0		Penywaun	False	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABDARE	78100	ABA	Aberdare	True	True	True	False	300455	202764	0	0	Station	0	True	4775	197	False	16078	True	ThroughNode	False
ABDATRE	0		Trecynon	False	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABDO	3295	AUR	Aberdour	True	True	True	False	319127	685446	0	0	Station	0	True	9011	12	False	29811	True	ThroughNode	True
ABDVY	64409	AVY	Aberdovey	True	True	True	False	260652	296037	0	0	Station	0	True	840	1	False	13826	True	ThroughNode	True
ABER	78371	ABE	Aber	True	True	True	False	314866	186953	0	0	Station	0	True	8284	2	False	11169	True	ThroughNode	False
ABGLELE	40073	AGL	Abergele & Pensarn	True	True	True	False	294652	378726	0	0	Station	0	True	3498	16	False	18369	True	ThroughNode	False
ABGNWYN	0		Abergynolwyn	False	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABHLJN	4309		Abbeyhill Jn	True	True	True	False	326833	674145	0	0	Junction	0	True	243	26214	False	30118	True	ThroughNode	True
ABHLTB	4308		Abbeyhill Turnback Sidings	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABINCE	7947		Abington C.E.	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABINDPL	7971		Abington D.P.L.	True	True	True	False	293616	623499	0	0	Unknown	0	True	99	55	False	31657	True	ThroughNode	False
ABINDS	7948		Abington Down Sidings	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABINGTN	7972		Abington	True	True	True	False	293616	623499	0	0	Unknown	0	True	3307	20584	False	31657	True	ThroughNode	False
ABINUPL	7970		Abington U.P.L.	True	True	True	False	293616	623499	0	0	Unknown	0	True	100	52	False	31657	True	ThroughNode	False
ABNGHST	0		Abingdon High Street	False	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABNGSTR	0		Abingdon Stratton Way	False	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABRCYNS	78204	ACY	Abercynon	True	True	True	False	308152	194715	0	0	Station	0	True	11808	1279	False	12943	True	Junction	True
ABRD27	2080		Aberdeen Sig A27	True	True	True	False	394193	805631	0	0	Unknown	0	True	964	3	False	35022	True	ThroughNode	False
ABRD75	2078		Aberdeen Signal A75	True	True	True	False	394215	805474	0	0	Unknown	0	True	4	2	False	34947	True	ThroughNode	False
ABRD77	2079		Aberdeen Signal A77	True	True	True	False	394132	805809	0	0	Unknown	0	True	152	0	False	35509	True	ThroughNode	False
ABRDCH	2075	XAC	Aberdeen Clayhills Car.M.D	True	True	True	False	394102	805713	0	0	Depot	0	True	435	0	False	34946	True	Terminal	False
ABRDEEN	2071	ABD	Aberdeen	True	True	True	False	394132	805809	0	0	Station	0	True	7393	6066	False	35509	True	ThroughNode	False
ABRDFDS	2083		Aberdeen Ferryhill Dn Sdgs	True	True	True	False	394062	804492	0	0	Unknown	0	True	2	1	False	34791	True	Terminal	False
ABRDFGL	2084		Aberdeen Ferryhill GL	True	True	True	False	394174	804802	0	0	Unknown	0	True	140	70	False	34678	True	Junction	False
ABRDFJN	2082		Aberdeen Ferryhill Jn	True	True	True	False	394174	804802	0	0	Junction	0	True	39	5666	False	34678	True	Junction	False
ABRDFUS	2086		Aberdeen Ferryhill Up Sdgs	True	True	True	False	394174	804802	0	0	Unknown	0	True	332	161	False	34678	True	Junction	False
ABRDGBR	2076		Aberdeen Guild Street GBRF	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABRDNDS	0		Aberdeen Guild St DRS	False	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABRDNHS	2077		Aberdeen H.S.	True	True	False	False	394182	805677	0	0	Unknown	0	False	0	0	False	35163	True	ThroughNode	False
ABRDNS	2067		Aberdeen North Siding	True	True	True	False	394021	805992	0	0	Unknown	0	True	6	4	False	35756	True	ThroughNode	False
ABRDPDK	2069		Aberdeen Parcels Dock	True	True	False	False	394182	805677	0	0	Unknown	0	False	0	0	False	35163	True	ThroughNode	False
ABRDRSL	2074		Aberdeen Russell J.G.	True	True	False	False	394409	806171	0	0	Unknown	0	False	0	0	True				False
ABRDSVC	0		Aberdeen Service Co	False	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABRDWAT	2061		Aberdeen Waterloo	True	True	True	False	394863	806230	0	0	Unknown	0	True	88	2	False	36222	True	Terminal	False
ABRDWGB	2062		Aberdeen Waterloo (GBRF)	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABRE	64506	ABH	Abererch	True	True	True	False	240346	336077	0	0	Station	0	True	722	2	False	21453	True	ThroughNode	False
ABRFRWD	0		Aberffrwd	False	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABRGPGN	76248		Penpergwn	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABRGS38	76253		Abergavenny Sig 38	True	True	True	False	330549	213604	0	0	Unknown	0	False	0	2375	False	7068	True	ThroughNode	False
ABRGVNY	76251	AGV	Abergavenny	True	True	True	False	330549	213604	0	0	Station	0	True	13526	12983	False	7068	True	ThroughNode	False
ABRPGWM	79519		Aberpergwm	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABRYAFO	64505		Afon Wen L.C.	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABRYRRL	64609		Aberystwyth Run Round Loop	True	True	True	False	258749	281304	0	0	Unknown	0	True	27	8	False	14338	True	ThroughNode	False
ABRYSHE	64608		Aberystwyth Shell Sdgs	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABRYSNS	0		Aberystwyth Stn Sdgs	False	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABRYSTH	64607	AYW	Aberystwyth	True	True	True	False	258518	281589	0	0	Station	0	True	1920	22	False	14775	True	Terminal	False
ABTH	78903		Aberthaw	True	True	True	False	302929	167340	0	0	Unknown	0	True	687	3692	False	13950	True	ThroughNode	False
ABTH222	78916		Aberthaw Signal AW222	True	True	True	False	293303	178174	0	0	Unknown	0	False	0	1628	False	13462	True	Terminal	False
ABTH231	78919		Aberthaw Signal AW231	True	True	True	False	297087	168866	0	0	Unknown	0	True	4	1823	False	13016	True	ThroughNode	False
ABTH433	78917		Aberthaw Sig CF3433	True	True	True	False	293303	178174	0	0	Unknown	0	False	0	454	False	13462	True	Terminal	False
ABTH440	78918		Aberthaw Sig CF3440	True	True	True	False	297087	168866	0	0	Unknown	0	False	0	468	False	13016	True	ThroughNode	False
ABTHA13	78904		Aberthaw Signal A13	True	True	False	False	302550	165959	0	0	Unknown	0	False	0	0	False	14480	True	Terminal	False
ABTHA39	78900		Aberthaw Signal A39	True	True	False	False	302929	167340	0	0	Unknown	0	False	0	0	False	13950	True	ThroughNode	False
ABTHLAF	78902		Aberthaw Cement Works	True	True	True	False	302929	167340	0	0	Unknown	0	True	184	0	False	13950	True	ThroughNode	False
ABTHOSD	78904		Aberthaw N.P.Oil Sdg	True	True	False	False	302550	165959	0	0	Unknown	0	False	0	0	False	14480	True	Terminal	False
ABTHPS	78904		Aberthaw Power Station	True	True	True	False	302550	165959	0	0	Unknown	0	True	9420	0	False	14480	True	Terminal	False
ABTHPST	78908		Aberthaw Pwr Stn Fliner Hvy Hl	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ABTHRCP	78906		Aberthaw Rec Sdgs	True	True	True	False	302929	167340	0	0	Unknown	0	True	19048	1933	False	13950	True	ThroughNode	False
ABTHWCC	78905		Aberthaw Cement Works	True	True	False	False	302929	167340	0	0	Unknown	0	False	0	0	False	13950	True	ThroughNode	False
ABTSWDJ	67371		Abbotswood Jn	True	True	True	False	388939	250003	0	0	Junction	0	True	2080	28460	False	5861	True	Junction	False
ABWD	88601	ABW	Abbey Wood	True	True	True	False	547288	179033	0	0	Station	0	True	50676	9410	False	20190	True	ThroughNode	True
ACBG	37001	ACB	Acton Bridge	True	True	True	False	359917	374519	0	0	Station	0	True	5051	41890	False	19021	True	ThroughNode	False
ACGJN	35555		Acton Grange Jn	True	True	True	False	358506	385242	0	0	Junction	0	True	351	28464	False	20012	True	ThroughNode	False
ACGJNLX	35588		Norton LC (Acton Grange)	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ACHANLT	1081	AAT	Achanalt	True	True	True	False	226021	861475	0	0	Station	0	True	424	0	False	35562	True	ThroughNode	False
ACHERES	752		Acheres	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	True				True
ACHHBLC	1078	ACH	Balnacra LC	True	True	False	False	200299	848445	0	0	Station	0	False	0	0	False	36108	True	ThroughNode	False
ACHHSHL	1078	ACH	Achnashellach	True	True	True	False	200299	848445	0	0	Station	0	True	402	1	False	36108	True	ThroughNode	False
ACHILCK	8825	AUK	Auchinleck	True	True	True	False	254956	621957	0	0	Station	0	True	1626	12189	False	31214	True	ThroughNode	False
ACHLDH	1028		Acheildh	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ACHNGRY	4120		Auchengray	True	True	True	False	299273	654714	0	0	Unknown	0	True	13	9737	False	31510	True	ThroughNode	True
ACHNSCE	1080		Achnasheen C.E.	True	True	False	False	216369	858488	0	0	Unknown	0	False	0	0	False	35841	True	ThroughNode	False
ACHNSHN	1079	ACN	Achnasheen	True	True	True	False	216423	858538	0	0	Station	0	True	608	4	False	35658	True	ThroughNode	False
ACKLNGT	12115	ACK	Acklington	True	True	True	False	422202	601490	0	0	Station	0	True	161	23	False	35020	True	ThroughNode	True
ACLE	48056	ACL	Acle	True	True	True	False	639874	309984	0	0	Station	0	True	4353	88	False	44722	True	ThroughNode	False
ACOCKSG	66430	ACG	Acocks Green	True	True	True	False	412407	283510	0	0	Station	0	True	7184	1478	False	10347	True	ThroughNode	False
ACRNGTN	29061	ACR	Accrington	True	True	True	False	375733	428575	0	0	Station	0	True	7473	3455	False	38656	True	ThroughNode	False
ACTCWHF	72235		Acton Canal Wharf	True	True	True	False	521143	182803	0	0	Unknown	0	True	3300	9831	False	11328	True	ThroughNode	False
ACTNCTL	72252	ACC	Acton Central	True	True	True	False	520640	180230	0	0	Station	0	True	25707	438	False	9625	True	ThroughNode	False
ACTNLRG	72209		Acton Lane Rec Sdgs GBRf	True	True	True	False	521355	183039	0	0	Unknown	0	True	752	333	False	11764	True	ThroughNode	False
ACTNLRS	72211		Acton Lane Reception Sdgs	True	True	True	False	521355	183039	0	0	Unknown	0	True	241	106	False	11764	True	ThroughNode	False
ACTOGBR	73248		Acton Yard GBRF	True	True	False	False	521200	181956	0	0	Unknown	0	False	0	0	False	10599	True	ThroughNode	False
ACTONML	73240	AML	Acton Main Line	True	True	True	False	520310	181220	0	0	Station	0	True	32014	21709	False	10050	True	Junction	False
ACTONTC	73250	XAX	Acton T.C.	True	True	True	False	520172	181190	0	0	Unknown	0	True	16284	9490	False	10601	True	ThroughNode	False
ACTONW	73251		Acton West	True	True	True	False	519358	180980	0	0	Unknown	0	True	3079	174511	False	9766	True	Junction	False
ACTRNED	1087		Achterneed	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ACWL149	72263		Acton Wells Jn SIG AW149	True	True	True	False	521216	181975	0	0	Unknown	0	True	112	0	False	10598	True	ThroughNode	False
ACWL150	72264		Acton Wells Jn SIG AW150	True	True	False	False	0	0	0	0	Unknown	0	False	0	0	False				False
ACWLJN	72251		Acton Wells Jn	True	True	True	False	521183	181904	0	0	Unknown	0	True	1128	41412	False	10263	True	Junction	False
