Headcode,Event location,Loc Seq,Act Arrival Report,Act Dep Report,Is a planned stop?,Origin depart time,CIF Uid,Category
5A07,NEVLTMD,1,,00.28.00,X,00.08.00,Y62330,EE
5A07,MRLNJN ,3,,00.30.00,,00.08.00,Y62330,EE
5A07,LEEDS  ,4,00.33.00,00.37.00,X,00.08.00,Y62330,EE
5A07,LEEDS  ,10,00.42.00,,X,00.08.00,Y62330,EE
5D33,LEEDS  ,1,,00.37.00,X,00.25.00,Y62379,EE
5D33,MRLNJN ,2,,00.41.00,,00.25.00,Y62379,EE
5D33,NEVLTMD,4,00.44.00,,X,00.25.00,Y62379,EE
5Y52,KNGX   ,1,,00.37.00,X,00.53.00,Y62559,EE
5Y52,KNGXBEL,2,,00.39.00,,00.53.00,Y62559,EE
5Y52,HLWYSJ ,3,,00.41.00,,00.53.00,Y62559,EE
5Y52,FNPK   ,4,,00.58.00,,00.53.00,Y62559,EE
5Y52,FRMPKRS,5,01.14.00,,X,00.53.00,Y62559,EE
5N34,NWCSTLE,1,,00.39.00,X,00.54.00,Y62442,EE
5N34,HTONSJN,2,,00.45.00,,00.54.00,Y62442,EE
5N34,HTONTMD,3,00.46.00,,X,00.54.00,Y62442,EE
5E30,LEEDS  ,1,,00.55.00,X,00.55.00,Y62421,EE
5E30,MRLNJN ,2,,01.00.00,,00.55.00,Y62421,EE
5E30,NEVLTMD,4,01.10.00,,X,00.55.00,Y62421,EE
3A00,BNDSGRN,1,,00.49.00,X,01.00.00,Y62310,EE
3A00,FNPK   ,3,,00.57.00,,01.00.00,Y62310,EE
3A00,HLWYSJ ,4,,00.58.00,,01.00.00,Y62310,EE
3A00,KNGXBEL,5,,00.59.00,,01.00.00,Y62310,EE
3A00,KNGX   ,6,01.02.00,02.32.00,X,01.00.00,Y62310,EE
3A00,KNGXBEL,7,,02.35.00,,01.00.00,Y62310,EE
3A00,FNPK   ,8,,02.37.00,,01.00.00,Y62310,EE
3A00,ALEXNDP,9,,02.40.00,,01.00.00,Y62310,EE
3A00,GORDONH,10,,02.45.00,,01.00.00,Y62310,EE
3A00,HFDN   ,11,,02.55.00,,01.00.00,Y62310,EE
3A00,LNGYJN ,12,,03.03.00,,01.00.00,Y62310,EE
3A00,STEVNGE,13,,03.05.00,,01.00.00,Y62310,EE
3A00,HITCHIN,14,,03.09.00,,01.00.00,Y62310,EE
3A00,SNDY   ,15,,03.15.00,,01.00.00,Y62310,EE
3A00,HNTNGDN,16,,03.22.00,,01.00.00,Y62310,EE
3A00,HOLME  ,17,,03.27.00,,01.00.00,Y62310,EE
3A00,PBRO   ,18,,03.34.00,,01.00.00,Y62310,EE
3A00,WRNGTNJ,19,,03.38.00,,01.00.00,Y62310,EE
3A00,HELPSTN,20,,03.41.00,,01.00.00,Y62310,EE
3A00,TALNGTN,21,,03.47.00,,01.00.00,Y62310,EE
3A00,SOKEJN ,22,,03.55.00,,01.00.00,Y62310,EE
3A00,GTHM   ,23,,03.59.00,,01.00.00,Y62310,EE
3A00,CLPLLP ,24,,04.05.00,,01.00.00,Y62310,EE
3A00,NEWANG ,25,04.10.00,,X,01.00.00,Y62310,EE
5D01,BNDSGRN,1,,02.17.00,X,02.08.00,Y62350,EE
5D01,FNPK   ,3,,02.24.00,,02.08.00,Y62350,EE
5D01,HLWYSJ ,4,,02.26.00,,02.08.00,Y62350,EE
5D01,KNGXBEL,5,,02.28.00,,02.08.00,Y62350,EE
5D01,KNGX   ,6,02.31.00,,X,02.08.00,Y62350,EE
5Y27,KNGX   ,1,,03.00.00,Y,02.19.00,Y62540,EE
5Y27,KNGXBEL,2,,03.03.00,,02.19.00,Y62540,EE
5Y27,HLWYSJ ,3,,03.05.00,,02.19.00,Y62540,EE
5Y27,ALEXNDP,4,03.11.00,03.11.00,,02.19.00,Y62540,EE
5Y27,BNDSGRN,5,04.11.00,,,02.19.00,Y62540,EE
5N35,NWCSTLE,1,,02.16.00,X,02.26.00,Y62445,EE
5N35,HTONSJN,2,,02.21.00,,02.26.00,Y62445,EE
5N35,HTONTMD,3,02.22.00,,X,02.26.00,Y62445,EE
5D02,FRMPKRS,1,,02.35.00,Y,02.27.00,Y62351,EE
5D02,ALEXNDP,3,,02.45.00,,02.27.00,Y62351,EE
5D02,ALEXNDP,5,,03.00.00,,02.27.00,Y62351,EE
5D02,FNPK   ,6,,03.04.00,,02.27.00,Y62351,EE
5D02,KNGX   ,9,03.09.00,,Y,02.27.00,Y62351,EE
5D36,LEEDS  ,1,,02.45.00,X,02.46.00,Y62382,EE
5D36,NEVLTMD,4,02.51.00,,X,02.46.00,Y62382,EE
5Y03,HTONTMD,1,,03.58.00,X,04.00.00,Y62511,EE
5Y03,NWCSTLE,3,04.06.00,,X,04.00.00,Y62511,EE
0Z67,BOWESPK,2,,04.54.00,,04.15.00, 81126,ZZ
0Z67,GORDONH,3,,04.58.00,,04.15.00, 81126,ZZ
0Z67,HFDN   ,4,,05.06.00,,04.15.00, 81126,ZZ
0Z67,LNGYJN ,5,,05.14.00,,04.15.00, 81126,ZZ
0Z67,STEVNGE,6,,05.15.00,,04.15.00, 81126,ZZ
0Z67,HITCHIN,7,,05.19.00,,04.15.00, 81126,ZZ
0Z67,SNDY   ,8,,05.27.00,,04.15.00, 81126,ZZ
0Z67,HNTNGDN,9,,05.36.00,,04.15.00, 81126,ZZ
0Z67,HOLME  ,10,,05.42.00,,04.15.00, 81126,ZZ
0Z67,PBRO   ,11,05.49.00,,Y,04.15.00, 81126,ZZ
3A12,NEVLTMD,1,,04.16.00,X,04.20.00,Y62313,EE
3A12,LEEDS  ,4,04.21.00,04.41.00,X,04.20.00,Y62313,EE
3A12,ESJLEDS,6,,04.43.00,,04.20.00,Y62313,EE
3A12,STRTJN ,7,,04.47.00,,04.20.00,Y62313,EE
3A12,METHLYJ,8,,04.51.00,,04.20.00,Y62313,EE
3A12,ALTFTJN,9,,04.52.00,,04.20.00,Y62313,EE
3A12,TRNRSLA,10,,04.57.00,,04.20.00,Y62313,EE
3A12,CLDBDGJ,11,,04.59.00,,04.20.00,Y62313,EE
3A12,CRFTNWJ,12,,05.02.00,,04.20.00,Y62313,EE
3A12,HAREPKJ,13,,05.06.00,,04.20.00,Y62313,EE
3A12,HEMSWTH,14,05.12.00,05.27.00,X,04.20.00,Y62313,EE
3A12,SKIRBYJ,15,,05.29.00,,04.20.00,Y62313,EE
3A12,ADWICKJ,16,,05.33.00,,04.20.00,Y62313,EE
3A12,ADWICK ,17,,05.33.00,,04.20.00,Y62313,EE
3A12,DONC   ,18,05.39.00,05.46.00,X,04.20.00,Y62313,EE
3A12,HTFLASF,20,,05.54.00,,04.20.00,Y62313,EE
3A12,THORNEJ,21,,05.56.00,,04.20.00,Y62313,EE
3A12,GOOLE  ,22,,06.06.00,,04.20.00,Y62313,EE
3A12,GLBRDYK,23,,06.13.00,,04.20.00,Y62313,EE
3A12,BROUGH ,24,,06.20.00,,04.20.00,Y62313,EE
3A12,HULL   ,26,06.32.00,,X,04.20.00,Y62313,EE
5A01,NEVLTMD,1,,04.20.00,X,04.25.00,Y62325,EE
5A01,LEEDS  ,4,04.24.00,,X,04.25.00,Y62325,EE
3Y14,HTONTMD,1,,04.31.00,X,04.30.00,Y62323,EE
3Y14,HTONSJN,2,,04.33.00,,04.30.00,Y62323,EE
3Y14,NWCSTLE,3,04.37.00,04.51.00,X,04.30.00,Y62323,EE
3Y14,HTONSJN,4,,04.54.00,,04.30.00,Y62323,EE
3Y14,MRPTHRP,5,,05.04.00,,04.30.00,Y62323,EE
3Y14,ALNMOTH,6,,05.15.00,,04.30.00,Y62323,EE
3Y14,BELFORD,7,,05.25.00,,04.30.00,Y62323,EE
3Y14,BRWCKUT,8,05.34.00,,X,04.30.00,Y62323,EE
